fc1.weight_in0,fc1.weight_in1,fc1.weight_in2,fc1.weight_in3
0.03002561,0.03000512,0.13687721,0.28938803
0.03000670,0.03000147,0.29909250,0.36566699
0.03000000,0.03000000,0.47983617,0.03006370
0.03405794,0.33253518,0.22725065,0.13174109
0.03000000,0.03000000,0.29864544,0.03000000
0.06797792,0.15744548,0.22604880,0.12762436
0.03000000,0.03000000,0.23472098,0.03000000
0.03000000,0.03000000,0.28687465,0.03000000
0.03000000,0.03000000,0.47987127,0.03006260
0.03000000,0.03000000,0.25799128,0.03077617
0.03022388,0.22033805,0.19317843,0.40781209
0.03000000,0.03000000,0.63103664,0.33876297
0.03000000,0.03000000,0.89999998,0.19501047
0.03000000,0.03000000,0.29055795,0.03000000
0.03000000,0.03000000,0.84153992,0.15887316
0.26713577,0.18561684,0.20167194,0.12223117
0.03000000,0.03000000,0.30329496,0.03000000
0.03000000,0.03000000,0.47992393,0.03006598
0.03000000,0.03000000,0.34525156,0.06491026
0.03000660,0.03000000,0.18809249,0.24626380
0.03000000,0.03000000,0.21923016,0.43760359
0.03000000,0.03000000,0.89999998,0.23813117
0.03015989,0.03005959,0.14821462,0.28920573
0.45423061,0.03000000,0.19745718,0.12046476
0.03000000,0.03000000,0.67645240,0.45654011
0.03023269,0.03003840,0.28308848,0.12542285
0.03091240,0.06982002,0.54378593,0.03014210
0.21170685,0.42057073,0.13690628,0.07337169
0.03000000,0.03000000,0.13220389,0.30475494
0.14631277,0.03000000,0.37641686,0.03000000
